accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
KT907525	Australia	""	Gentiana bredboensis voucher Adams 4150 (CANBR) ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid.	Gentiana bredboensis	""	""	Adams 4150 (CANBR)	""	""	""	""
KT907589	Australia	""	Gentiana wingecarribiensis voucher Adams et al. 2606 (CANBR) ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid.	Gentiana wingecarribiensis	""	""	Adams et al. 2606 (CANBR)	""	""	""	""
KT907616	Australia	""	Gentiana baeuerlenii voucher Adams 4124 (CANBR) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.	Gentiana baeuerlenii	""	""	Adams 4124 (CANBR)	""	""	""	""
KT907622	Australia	""	Gentiana bredboensis voucher Adams 4150 (CANBR) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.	Gentiana bredboensis	""	""	Adams 4150 (CANBR)	""	""	""	""
KT907634	Papua New Guinea	""	Gentiana cruttwellii voucher van Balgooy 76 (CANBR) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.	Gentiana cruttwellii	""	""	van Balgooy 76 (CANBR)	""	""	""	""
KT907670	Papua New Guinea	""	Gentiana macgregoryi voucher Hoogland 7132 (CANBR) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.	Gentiana macgregoryi	""	""	Hoogland 7132 (CANBR)	""	""	""	""
KT907677	Papua New Guinea	""	Gentiana nerterifolia voucher Craig 84 (CANBR) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence.	Gentiana nerterifolia	""	""	Craig 84 (CANBR)	""	""	""	""
KT907737	Australia	""	Gentiana wingecarribiensis voucher Adams et al. 2606 (CANBR) 5.8S ribosomal RNA gene, partial sequence; and internal transcribed spacer 2, complete sequence.	Gentiana wingecarribiensis	""	""	Adams et al. 2606 (CANBR)	""	""	""	""
KT907738	Australia:New South Wales	""	Gentiana wissmannii voucher JMB Smith 33 (CANBR) 5.8S ribosomal RNA gene, partial sequence; and internal transcribed spacer 2, complete sequence.	Gentiana wissmannii	""	""	JMB Smith 33 (CANBR)	""	""	""	""
KT907759	Australia	""	Gentiana baeuerlenii voucher Adams 4124 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana baeuerlenii	""	""	Adams 4124 (CANBR)	""	""	""	""
KT907765	Australia	""	Gentiana bredboensis voucher Adams 4150 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana bredboensis	""	""	Adams 4150 (CANBR)	""	""	""	""
KT907769	Papua New Guinea	""	Gentiana carinicostata voucher Veltkamp 6256-a (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana carinicostata	""	""	Veltkamp 6256-a (CANBR)	""	""	""	""
KT907772	Papua New Guinea	""	Gentiana cinereifolia voucher Craven 2913 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana cinereifolia	""	""	Craven 2913 (CANBR)	""	""	""	""
KT907779	Papua New Guinea	""	Gentiana cruttwellii voucher van Balgooy 76 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana cruttwellii	""	""	van Balgooy 76 (CANBR)	""	""	""	""
KT907791	Papua New Guinea	""	Gentiana ettingshausenii voucher Pullen 6059 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana ettingshausenii	""	""	Pullen 6059 (CANBR)	""	""	""	""
KT907817	Papua New Guinea	""	Gentiana macgregoryi voucher Hoogland 7132 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana macgregoryi	""	""	Hoogland 7132 (CANBR)	""	""	""	""
KT907823	Papua New Guinea	""	Gentiana nerterifolia voucher Craig 84 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana nerterifolia	""	""	Craig 84 (CANBR)	""	""	""	""
KT907883	Australia	""	Gentiana wingecarribiensis voucher Adams et al. 2606 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana wingecarribiensis	""	""	Adams et al. 2606 (CANBR)	""	""	""	""
KT907884	Australia:New South Wales	""	Gentiana wissmannii voucher JMB Smith 33 (CANBR) trnL-trnF intergenic spacer region, partial sequence; chloroplast.	Gentiana wissmannii	""	""	JMB Smith 33 (CANBR)	""	""	""	""
KT955052	Belgium:Botanical Garden Meise	""	Petchia ceylanica trnS-trnG intergenic spacer, partial sequence; chloroplast.	Petchia ceylanica	""	""	20041074-01 (BR)	""	""	A.O. Simoes	2005-01-01
KT955077	Tanzania	""	Rauvolfia nana trnS-trnG intergenic spacer, partial sequence; chloroplast.	Rauvolfia nana	""	""	Breyne 5614 (BR)	""	""	Breyne	""
KT955126	Belgium:Botanical Garden Meise	""	Petchia ceylanica tRNA-Lys (trnK) gene, intron; chloroplast.	Petchia ceylanica	""	""	20041074-01 (BR)	""	""	A.O. Simoes	2005-01-01
KT955153	Tanzania	""	Rauvolfia nana tRNA-Lys (trnK) gene, intron; chloroplast.	Rauvolfia nana	""	""	Breyne 5614 (BR)	""	""	Breyne	""
KT955201	Belgium:Botanical Garden Meise	""	Petchia ceylanica ribosomal protein S16 (rps16) gene, intron; chloroplast.	Petchia ceylanica	""	""	20041074-01 (BR)	""	""	A.O. Simoes	2005-01-01
KT955228	Tanzania	""	Rauvolfia nana ribosomal protein S16 (rps16) gene, intron; chloroplast.	Rauvolfia nana	""	""	Breyne 5614 (BR)	""	""	Breyne	""
KT955276	Belgium:Botanical Garden Meise	""	Petchia ceylanica ribosomal protein L16 (rpl16) gene, intron; chloroplast.	Petchia ceylanica	""	""	20041074-01 (BR)	""	""	A.O. Simoes	2005-01-01
KT955303	Tanzania	""	Rauvolfia nana ribosomal protein L16 (rpl16) gene, intron; chloroplast.	Rauvolfia nana	""	""	Breyne 5614 (BR)	""	""	Breyne	""
KT955377	Tanzania	""	Rauvolfia nana voucher Breyne 5614 (BR) maturase K (matK) gene, partial cds; chloroplast.	Rauvolfia nana	""	""	Breyne 5614 (BR)	""	""	Breyne	""
KU214891	""	""	Canna indica voucher 19981130-03 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Canna indica	""	""	19981130-03 (BR)	""	""	""	""
KU214892	""	""	Costus malortieanus voucher 10005061 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus malortieanus	""	""	10005061 (BR)	""	""	""	""
KU214893	""	""	Costus erythrophyllus voucher 19730145 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus erythrophyllus	""	""	19730145 (BR)	""	""	""	""
KU214894	""	""	Costus allenii voucher 19730144 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus allenii	""	""	19730144 (BR)	""	""	""	""
KU214895	""	""	Costus montanus voucher 19726433 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus montanus	""	""	19726433 (BR)	""	""	""	""
KU214896	""	""	Costus pictus voucher 10005272 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus pictus	""	""	10005272 (BR)	""	""	""	""
KU214897	""	""	Costus arabicus voucher 19730142 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus arabicus	""	""	19730142 (BR)	""	""	""	""
KU214898	""	""	Costus scaber voucher 19812689 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus scaber	""	""	19812689 (BR)	""	""	""	""
KU214899	""	""	Costus zingiberoides voucher 19860010 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus zingiberoides	""	""	19860010 (BR)	""	""	""	""
KU214900	""	""	Costus vargasii voucher 19860011 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus vargasii	""	""	19860011 (BR)	""	""	""	""
KU214901	""	""	Costus deistelii voucher 19615174 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus deistelii	""	""	19615174 (BR)	""	""	""	""
KU214902	""	""	Costus lucanusianus voucher 19620189 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus lucanusianus	""	""	19620189 (BR)	""	""	""	""
KU214903	""	""	Costus dubius voucher 19594350 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Costus dubius	""	""	19594350 (BR)	""	""	""	""
KU214904	""	""	Dimerocostus strobilaceus voucher 19726435 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Dimerocostus strobilaceus	""	""	19726435 (BR)	""	""	""	""
KU214905	""	""	Monocostus uniflorus voucher 19750179 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Monocostus uniflorus	""	""	19750179 (BR)	""	""	""	""
KU214906	""	""	Tapeinochilos ananassae voucher 19610260 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Tapeinochilos ananassae	""	""	19610260 (BR)	""	""	""	""
KU214907	""	""	Heliconia illustris voucher 10005273 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Heliconia illustris	""	""	10005273 (BR)	""	""	""	""
KU214908	""	""	Heliconia indica voucher 19730253 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Heliconia indica	""	""	19730253 (BR)	""	""	""	""
KU214909	""	""	Heliconia angusta voucher 19750486 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Heliconia angusta	""	""	19750486 (BR)	""	""	""	""
KU214910	""	""	Heliconia humilis voucher 19861386 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Heliconia humilis	""	""	19861386 (BR)	""	""	""	""
KU214911	""	""	Heliconia rostrata voucher 19822412 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Heliconia rostrata	""	""	19822412 (BR)	""	""	""	""
KU214912	""	""	Heliconia hirsuta voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Heliconia hirsuta	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU214913	""	""	Heliconia richardiana voucher 19940052-53 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Heliconia richardiana	""	""	19940052-53 (BR)	""	""	""	""
KU214914	""	""	Orchidantha maxillarioides voucher 19074031 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Orchidantha maxillarioides	""	""	19074031 (BR)	""	""	""	""
KU214915	""	""	Goeppertia marantifolia voucher 19760485 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia marantifolia	""	""	19760485 (BR)	""	""	""	""
KU214916	""	""	Goeppertia orbifolia voucher 19910146-23 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia orbifolia	""	""	19910146-23 (BR)	""	""	""	""
KU214917	""	""	Goeppertia mirabilis voucher 19700537 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia mirabilis	""	""	19700537 (BR)	""	""	""	""
KU214918	""	""	Goeppertia louisae voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia louisae	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU214919	""	""	Goeppertia variegata voucher 19820964 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia variegata	""	""	19820964 (BR)	""	""	""	""
KU214920	""	""	Goeppertia undulata voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia undulata	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU214921	""	""	Goeppertia makoyana voucher 19073768 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia makoyana	""	""	19073768 (BR)	""	""	""	""
KU214922	""	""	Goeppertia nigricans voucher 19391641 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia nigricans	""	""	19391641 (BR)	""	""	""	""
KU214923	""	""	Goeppertia majestica voucher 19700532 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia majestica	""	""	19700532 (BR)	""	""	""	""
KU214924	""	""	Goeppertia lindeniana voucher 19700741 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia lindeniana	""	""	19700741 (BR)	""	""	""	""
KU214925	""	""	Goeppertia zebrina voucher 19700743 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia zebrina	""	""	19700743 (BR)	""	""	""	""
KU214926	""	""	Maranta lietzei voucher 19073766 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Maranta lietzei	""	""	19073766 (BR)	""	""	""	""
KU214927	""	""	Goeppertia louisae voucher 19391639 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia louisae	""	""	19391639 (BR)	""	""	""	""
KU214928	""	""	Goeppertia picturata voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia picturata	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU214929	""	""	Ctenanthe setosa voucher 19620507 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Ctenanthe setosa	""	""	19620507 (BR)	""	""	""	""
KU214930	""	""	Ctenanthe amabilis voucher 19391944 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Ctenanthe amabilis	""	""	19391944 (BR)	""	""	""	""
KU214931	""	""	Ctenanthe oppenheimiana voucher 19680371 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Ctenanthe oppenheimiana	""	""	19680371 (BR)	""	""	""	""
KU214932	""	""	Goeppertia microcephala voucher 19700740 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Goeppertia microcephala	""	""	19700740 (BR)	""	""	""	""
KU214933	""	""	Maranta depressa voucher 19700747 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Maranta depressa	""	""	19700747 (BR)	""	""	""	""
KU214934	""	""	Maranta bicolor voucher 19074039 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Maranta bicolor	""	""	19074039 (BR)	""	""	""	""
KU214935	""	""	Maranta leuconeura voucher 19660030 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Maranta leuconeura	""	""	19660030 (BR)	""	""	""	""
KU214936	""	""	Sarcophrynium prionogonium voucher 10005466 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Sarcophrynium prionogonium	""	""	10005466 (BR)	""	""	""	""
KU214937	""	""	Pleiostachya pruinosa voucher 19910154-31 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pleiostachya pruinosa	""	""	19910154-31 (BR)	""	""	""	""
KU214938	""	""	Marantochloa leucantha voucher 19547056 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Marantochloa leucantha	""	""	19547056 (BR)	""	""	""	""
KU214939	""	""	Hypselodelphys hirsuta voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Hypselodelphys hirsuta	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU214940	""	""	Saranthe sp. 19575002 voucher 19575002 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Saranthe sp. 19575002	""	""	19575002 (BR)	""	""	""	""
KU214941	""	""	Stromanthe porteana voucher 19710269 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Stromanthe porteana	""	""	19710269 (BR)	""	""	""	""
KU214942	""	""	Ischnosiphon ovatus voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Ischnosiphon ovatus	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU214943	""	""	Marantochloa conferta voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Marantochloa conferta	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU214944	""	""	Thalia multiflora voucher 19770092 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Thalia multiflora	""	""	19770092 (BR)	""	""	""	""
KU214945	""	""	Donax canniformis voucher 19733425 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Donax canniformis	""	""	19733425 (BR)	""	""	""	""
KU214946	""	""	Marantochloa filipes voucher 19850681 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Marantochloa filipes	""	""	19850681 (BR)	""	""	""	""
KU214947	""	""	Megaphrynium macrostachyum voucher 10005583 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Megaphrynium macrostachyum	""	""	10005583 (BR)	""	""	""	""
KU214948	""	""	Sarcophrynium brachystachyum voucher 19910155-32 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Sarcophrynium brachystachyum	""	""	19910155-32 (BR)	""	""	""	""
KU215000	""	""	Phenakospermum guyannense voucher 19812682 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Phenakospermum guyannense	""	""	19812682 (BR)	""	""	""	""
KU215001	""	""	Alpinia luteocarpa voucher 19880195 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Alpinia luteocarpa	""	""	19880195 (BR)	""	""	""	""
KU215002	""	""	Alpinia purpurata voucher 19880109 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Alpinia purpurata	""	""	19880109 (BR)	""	""	""	""
KU215003	""	""	Zingiber papuanum voucher 19763771 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Zingiber papuanum	""	""	19763771 (BR)	""	""	""	""
KU215004	""	""	Zingiber zerumbet voucher 19520932 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Zingiber zerumbet	""	""	19520932 (BR)	""	""	""	""
KU215005	""	""	Zingiber zerumbet voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Zingiber zerumbet	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU215006	""	""	Curcuma longa voucher 19670244 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Curcuma longa	""	""	19670244 (BR)	""	""	""	""
KU215007	""	""	Curcuma xanthorrhiza voucher 19750147 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Curcuma xanthorrhiza	""	""	19750147 (BR)	""	""	""	""
KU215008	""	""	Hedychium horsfieldii voucher 19602071 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Hedychium horsfieldii	""	""	19602071 (BR)	""	""	""	""
KU215009	""	""	Hedychium cylindricum voucher 19520915 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Hedychium cylindricum	""	""	19520915 (BR)	""	""	""	""
KU215010	""	""	Hedychium flavescens voucher 19800483 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Hedychium flavescens	""	""	19800483 (BR)	""	""	""	""
KU215011	""	""	Hedychium coronarium voucher 19870230 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Hedychium coronarium	""	""	19870230 (BR)	""	""	""	""
KU215012	""	""	Boesenbergia sp. 19710472 voucher 19710472 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Boesenbergia sp. 19710472	""	""	19710472 (BR)	""	""	""	""
KU215013	""	""	Kaempferia gilbertii voucher 19570275 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Kaempferia gilbertii	""	""	19570275 (BR)	""	""	""	""
KU215014	""	""	Kaempferia rotunda voucher 19074013 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Kaempferia rotunda	""	""	19074013 (BR)	""	""	""	""
KU215015	""	""	Kaempferia elegans voucher 20060023-35 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Kaempferia elegans	""	""	20060023-35 (BR)	""	""	""	""
KU215016	""	""	Boesenbergia rotunda voucher 20040188-85 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Boesenbergia rotunda	""	""	20040188-85 (BR)	""	""	""	""
KU215017	""	""	Renealmia nicolaioides voucher 19750423 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Renealmia nicolaioides	""	""	19750423 (BR)	""	""	""	""
KU215018	""	""	Cautleya lutea voucher 20091405-86 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Cautleya lutea	""	""	20091405-86 (BR)	""	""	""	""
KU215019	""	""	Siphonochilus kirkii voucher 20040213-13 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Siphonochilus kirkii	""	""	20040213-13 (BR)	""	""	""	""
KU215020	""	""	Globba schomburgkii voucher 19741200 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Globba schomburgkii	""	""	19741200 (BR)	""	""	""	""
KU215021	""	""	Renealmia alpinia voucher 19921107-23 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Renealmia alpinia	""	""	19921107-23 (BR)	""	""	""	""
KU215022	""	""	Kaempferia sp. Van Caeckenberghe s.n. voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Kaempferia sp. Van Caeckenberghe s.n.	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU215023	""	""	Aframomum hanburyi voucher Van Caeckenberghe s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Aframomum hanburyi	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU215024	""	""	Aframomum daniellii voucher 20030092-77 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Aframomum daniellii	""	""	20030092-77 (BR)	""	""	""	""
KU215025	""	""	Etlingera elatior voucher 19560132 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Etlingera elatior	""	""	19560132 (BR)	""	""	""	""
KU215026	""	""	Siphonochilus decorus voucher 19870078 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Siphonochilus decorus	""	""	19870078 (BR)	""	""	""	""
KU215027	""	""	Zingiber officinale voucher 19920009-89 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Zingiber officinale	""	""	19920009-89 (BR)	""	""	""	""
KU215028	""	""	Canna indica voucher 19981130-03 (BR) 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Canna indica	""	""	19981130-03 (BR)	""	""	""	""
KU215029	""	""	Costus malortieanus voucher 10005061 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus malortieanus	""	""	10005061 (BR)	""	""	""	""
KU215030	""	""	Costus erythrophyllus voucher 19730145 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus erythrophyllus	""	""	19730145 (BR)	""	""	""	""
KU215031	""	""	Costus allenii voucher 19730144 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus allenii	""	""	19730144 (BR)	""	""	""	""
KU215032	""	""	Costus montanus voucher 19726433 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus montanus	""	""	19726433 (BR)	""	""	""	""
KU215033	""	""	Costus pictus voucher 10005272 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus pictus	""	""	10005272 (BR)	""	""	""	""
KU215034	""	""	Costus arabicus voucher 19730142 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus arabicus	""	""	19730142 (BR)	""	""	""	""
KU215035	""	""	Costus scaber voucher 19812689 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus scaber	""	""	19812689 (BR)	""	""	""	""
KU215036	""	""	Costus zingiberoides voucher 19860010 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus zingiberoides	""	""	19860010 (BR)	""	""	""	""
KU215037	""	""	Costus vargasii voucher 19860011 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus vargasii	""	""	19860011 (BR)	""	""	""	""
KU215038	""	""	Costus deistelii voucher 19615174 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus deistelii	""	""	19615174 (BR)	""	""	""	""
KU215039	""	""	Costus lucanusianus voucher 19620189 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus lucanusianus	""	""	19620189 (BR)	""	""	""	""
KU215040	""	""	Costus dubius voucher 19594350 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Costus dubius	""	""	19594350 (BR)	""	""	""	""
KU215041	""	""	Chamaecostus cuspidatus voucher 19381338 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Chamaecostus cuspidatus	""	""	19381338 (BR)	""	""	""	""
KU215042	""	""	Heliconia rostrata voucher 19822412 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Heliconia rostrata	""	""	19822412 (BR)	""	""	""	""
KU215043	""	""	Goeppertia marantifolia voucher 19760485 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Goeppertia marantifolia	""	""	19760485 (BR)	""	""	""	""
KU215044	""	""	Goeppertia orbifolia voucher 19910146-23 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Goeppertia orbifolia	""	""	19910146-23 (BR)	""	""	""	""
KU215045	""	""	Goeppertia mirabilis voucher 19700537 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Goeppertia mirabilis	""	""	19700537 (BR)	""	""	""	""
KU215046	""	""	Goeppertia louisae voucher Van Caeckenberghe s.n. (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Goeppertia louisae	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU215047	""	""	Goeppertia variegata voucher 19820964 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Goeppertia variegata	""	""	19820964 (BR)	""	""	""	""
KU215048	""	""	Goeppertia undulata voucher Van Caeckenberghe s.n. (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Goeppertia undulata	""	""	Van Caeckenberghe s.n. (BR)	""	""	""	""
KU215049	""	""	Goeppertia makoyana voucher 19073768 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Goeppertia makoyana	""	""	19073768 (BR)	""	""	""	""
